Date,Price,Volume
2019-03-15,2.234,25
2019-03-16,2.206,32
2019-03-17,2.16,48
2019-03-18,2.21,34
2019-03-19,2.238,29
2019-03-20,2.236,24
2019-03-21,2.235,32
2019-03-22,2.269,43
2019-03-23,2.295,31
2019-03-24,2.292,24
2019-03-25,2.389,38
2019-03-26,2.391,25
2019-03-27,2.216,24
2019-03-28,2.192,34
2019-03-29,2.049,32
2019-03-30,2.087,32
2019-03-31,2.106,32
2019-04-01,2.219,31
2019-04-02,2.206,24
2019-04-03,2.257,33
2019-04-04,2.17,25
2019-04-05,2.28,31
2019-04-06,2.337,33
2019-04-07,2.483,37
2019-04-08,2.52,40
2019-04-09,2.512,23
2019-04-10,2.586,26
2019-04-11,2.655,25
2019-04-12,2.612,21
2019-04-13,2.598,40
2019-04-14,2.768,37
2019-04-15,2.809,39
2019-04-16,2.882,25
2019-04-17,2.771,34
2019-04-18,2.74,31
2019-04-19,2.834,30
2019-04-20,2.888,17
2019-04-21,2.831,30
2019-04-22,3.09,27
2019-04-23,3.07,20
2019-04-24,3.033,19
2019-04-25,3.044,21
2019-04-26,2.834,26
2019-04-27,2.982,17
2019-04-28,2.86,27
2019-04-29,2.957,22
2019-04-30,2.837,19
2019-05-01,2.766,27
2019-05-02,2.92,30
2019-05-03,2.987,14
2019-05-04,2.713,19
2019-05-05,2.857,16
2019-05-06,2.795,18
2019-05-07,2.8,35
2019-05-08,2.696,22
2019-05-09,2.771,34
2019-05-10,2.83,29
2019-05-11,2.791,48
2019-05-12,2.638,58
2019-05-13,2.542,36
2019-05-14,2.779,28
2019-05-15,2.827,47
2019-05-16,2.833,23
2019-05-17,2.741,34
2019-05-18,2.692,23
2019-05-19,2.65,35
2019-05-20,2.712,29
2019-05-21,2.75,29
2019-05-22,2.863,78
2019-05-23,2.926,12
2019-05-24,2.984,34
2019-05-25,2.98,36
2019-05-26,2.939,13
2019-05-27,3.089,42
2019-05-28,2.992,39
2019-05-29,3.395,44
2019-05-30,3.063,10
2019-05-31,3.021,36
2019-06-01,3.294,22
2019-06-02,3.512,45
2019-06-03,3.518,38
2019-06-04,3.517,45
2019-06-05,3.585,50
2019-06-06,3.49,20
2019-06-07,3.471,24
2019-06-08,3.447,22
2019-06-09,3.562,21
2019-06-10,3.415,21
2019-06-11,3.572,36
2019-06-12,3.645,16
2019-06-13,3.392,16
2019-06-14,3.603,25
2019-06-15,3.551,17
2019-06-16,3.338,14
2019-06-17,3.472,17
2019-06-18,3.413,22
2019-06-19,3.42,11
2019-06-20,3.59,27
2019-06-21,3.512,32
2019-06-22,3.605,26
2019-06-23,3.554,18
2019-06-24,3.436,17
2019-06-25,3.445,19
2019-06-26,3.416,18
2019-06-27,3.175,23
2019-06-28,3.177,20
2019-06-29,3.406,117
2019-06-30,3.567,35
2019-07-01,3.392,29
2019-07-02,3.506,36
2019-07-03,3.652,32
2019-07-04,3.824,65
2019-07-05,4.004,9
